video_id,title_caption,views,likes,comments,language,main_topic,emotional_tone,tone_shift,language_register,intended_audience,trend_or_cultural_moment,creator_angle,shareability_reason,analysis_source,content_category
M_spRkvATLE,انا لست انسان !!,119170.0,18621.0,3263.0,ar,"The video starts as an investigation into a YouTuber named 'Sahrawi,' claiming to uncover a big, dangerous secret about him, eventually revealing the creator's comedic 'truth' that he himself is the Sahara Desert.","Initially curious and investigative, transitioning to dramatic and theatrical as 'evidence' is presented, finally becoming playful and self-aware with the admission that the entire premise was a joke.","The video shifts from a seemingly serious, almost conspiratorial investigation into another YouTuber's true identity to a self-referential, absurd, and ultimately comedic revelation where the creator claims to be a natural phenomenon, concluding with a lighthearted disclaimer.","Informal and highly conversational, utilizing colloquial Arabic with expressions that suggest direct engagement and a casual relationship with the audience.","Viewers interested in YouTube drama, content creator 'mystery' videos, gaming content (specifically 'Free Fire'), and those who appreciate satirical or comedic takes on online trends.","This video appears to tap into the YouTube trend of 'debunking' or 'revealing secrets' about other creators, often presented with high drama, but it subverts this trend with a comedic, self-aware twist. The focus on 'Free Fire' also aligns with popular gaming content.","The creator adopts a 'truth-seeker' persona, dramatically presenting 'five pieces of evidence' to support an outlandish claim about his own identity (that he is the Sahara Desert), rather than the target YouTuber, thus using self-parody to create humorous content.","The video's shareability stems from its dramatic buildup to an absurd and unexpected punchline, the comedic 'evidence' presented, and the final reveal that it was all a joke. This combination makes it entertaining, surprising, and likely to be shared for its humor and clever subversion of typical YouTube content.",transcript,Entertainment & Challenges
-iyOJLWgATE,MON PAYS (Official Music Video),265990.0,16771.0,895.0,ar,"My country, or themes related to national identity and homeland, as indicated by the title 'MON PAYS'.","Expressive and potentially passionate, with phrases like 'يحبو' (they love) and 'يبقى عزي وقرغفي' (remains my pride/honor) suggesting strong personal feelings related to the topic.",unclear,"Informal and colloquial, likely incorporating regional dialects and foreign loanwords (e.g., 'بررامر' which sounds like 'programmer'). The fast-paced, repetitive nature of some phrases also suggests a popular or street-level style.","Individuals connected to the specific country or region referenced in the title, likely a younger audience interested in contemporary local music.","The creation and release of an 'Official Music Video' centered around themes of national identity or patriotism, a recurring trend in music content creation.","Expressing a personal connection, pride, or commentary related to their country ('MON PAYS') through a professionally produced music video, potentially conveying both love and struggle.","The theme of national identity ('MON PAYS') can foster collective pride and resonance, encouraging sharing among a patriotic audience or those who connect with the cultural context. Its format as an 'Official Music Video' also makes it a standard piece of shareable media.",transcript,Music
wAeURkiHYIA,النجاة في البحر #4 |صيدنا الخنزير و الحمام 🐗😱😱@iamchedid,70352.0,11705.0,558.0,ar,"Survival gameplay, likely in a game setting, involving hunting (boar and pigeons) and crafting, set in a marine/island environment.","Excited, dramatic, adventurous, and informal, with elements of challenge and fun.",unclear,"Informal and casual, using a mix of Arabic (likely Darija), English slang ('LOL', 'memes'), and some technical gaming terms ('craft', 'starter').","Gamers, particularly those interested in survival-themed games, and a general internet-savvy audience comfortable with informal language and online culture.","Survival gaming content (e.g., crafting, resource management, hunting) and general online gaming culture, including the use of internet slang and memes.","The creator documents their personal survival journey or gameplay experience in a series format (#4), highlighting exciting and challenging moments like hunting and crafting, presented with a dramatic and engaging narrative style.","The video's dramatic and exciting content (hunting dangerous animals), its appeal to the survival gaming community, and the creator's engaging, informal narrative style make it shareable. It's also part of a series, encouraging ongoing discussion and sharing.",transcript,Gaming
iXy7_Dbsdws,Abdou Gambetta ft Anes Widou - Dani Dani Danعلا روحي راني حشمان  ( MUSIC VIDEO ) 2026,457638.0,18406.0,1306.0,ar,"A musical exploration of personal shame and internal struggle, possibly referencing a journey or path.","Predominantly melancholic and vulnerable, characterized by feelings of shame ('حشمان') and fear ('خيف'), with brief mentions of happiness ('سعيده').",unclear,"Informal and conversational, typical of song lyrics and potentially reflecting a specific dialect.","Individuals who appreciate music with personal, emotional narratives and followers of the artists 'Abdou Gambetta' and 'Anes Widou'.",unclear,"The creator presents a collaborative music video ('Abdou Gambetta ft Anes Widou - Dani Dani Danعلا روحي راني حشمان ( MUSIC VIDEO )') that expresses a raw, personal emotion of shame and vulnerability through lyrical content.","The explicit and strong emotional theme of shame ('على روحي راني حشمان') has the potential for deep relatability and emotional resonance, making it shareable among those who connect with personal struggles, alongside the inherent shareability of a music video.",transcript,Music
THte1EnuG-M,SPIDER-MAN : BRAND NEW DAY Bande Annonce VF (2026) Nouvelle,446957.0,18090.0,909.0,fr,"A new story or adaptation related to the superhero Spiderman, involving themes of identity, control, and facing an unseen threat, presented as a French trailer.","Urgent, mysterious, concerned, and apprehensive, with elements of personal struggle and impending danger.","The tone shifts from personal internal conflict and confusion to scientific inquiry about mutation, then to an external, unseen threat, and includes moments of casual interaction and later, encouragement and a call to action.","A mix of conversational, informal, and semi-formal French, including some technical vocabulary related to science and threats.","French-speaking audience interested in superhero stories, action, science fiction, and potentially the Spiderman franchise, who are looking forward to new releases.","The continuous creation and promotion of new stories or adaptations within established superhero franchises, specifically highlighting an upcoming release (""2026"") for Spider-Man.","The creator's angle is to share and promote new, official (or officially styled) trailer content for an upcoming Spiderman project, likely a film or series.","High anticipation for new content related to a well-known superhero (Spiderman), combined with intriguing plot elements (unseen threats, mutation, internal struggle) and a clear release year (2026), making it highly discussable and shareable among fans.",transcript,Movies & Series
Lkwqv8jHUDI,دخلت الى حساب مهجور و انصدمت !!,50535.0,8623.0,964.0,ar,"Analysis and showcase of a 'very old' and 'abandoned' Free Fire game account, highlighting its rare in-game items and history.","Excited, amazed, surprised, and challenging.",No significant tone shift; the excitement and challenging tone are maintained throughout the analysis.,"Informal and conversational, incorporating game-specific jargon (e.g., Free Fire, heroic, skins, levels, battle pass) and a mix of Arabic with some English terms.","Players of the Free Fire game, particularly those interested in rare in-game items, game history, and account analysis.","Taps into the trend of 'account archaeology' or showcasing rare/legacy content within popular online games, focusing on nostalgic and exclusive in-game items.","The creator adopts an investigative and comparative approach, meticulously analyzing an 'abandoned' Free Fire account's items, historical context, and age. They also issue a challenge to other players or creators regarding the rarity of specific items found in the account, positioning it as uniquely 'very old.'","Viewers might share the video due to the 'shock' and 'discovery' of an extremely rare and old game account, the explicit challenge issued by the creator to others, the nostalgia evoked by early game content, and the inherent interest for Free Fire players in seeing unique in-game items.",transcript,Gaming
YTXtae4ZRLc,Gruppo Aquile: OUTRO (Ultras Eagles 06) ألبوم ميلاد و تحرير,40181.0,6187.0,523.0,ar,A musical outro from an album titled 'Birth and Liberation' by 'Gruppo Aquile' for 'Ultras Eagles 06'.,"Passionate and intense, possibly reflective or defiant, indicated by repetitive phrases and the album title 'Birth and Liberation'.",unclear,"Informal and colloquial, consistent with song lyrics or chants for a fan group.",Fans or members of 'Ultras Eagles 06' and 'Gruppo Aquile'.,"Ultras culture, which involves creating music and anthems as a form of expression and identity for sports fan groups. The album title 'Birth and Liberation' suggests themes often present in cultural movements.","Creating identity-specific, expressive music (an album outro) for a particular Ultras fan group, possibly to mark a significant period or theme ('Birth and Liberation').","Strong emotional resonance and identity affirmation for fans and members of 'Ultras Eagles 06' and 'Gruppo Aquile', fostering a sense of belonging and shared experience through music.",transcript,Music
VDW13fQUauw,WELD AICHA FT. LARBI SARGHINI - DERWICH ( MUSIC VIDEO 2026),41054.0,1717.0,75.0,ar,"Music video release of a song titled ""Derwich"" by WELD AICHA FT. LARBI SARGHINI.","Expressive, with hints of introspection and resilience, based on lyrical themes of self-worth despite lack and a sense of desire or plea.",No apparent shift; the transcript maintains a consistent lyrical flow with repetitive phrases.,"Informal and poetic/lyrical, suitable for a song, containing a mix of what appears to be Arabic/Darija with some interspersed non-Arabic words.","An audience familiar with the linguistic and cultural context of the song's title and apparent lyrical content, likely in regions where such language blends are common.",unclear,"Releasing original music as a collaborative effort between two artists, presented as a music video. Their approach involves creating and performing expressive lyrical content.",unclear,transcript,
g07_9WfFpzI,Série - Sama WURUS - Bande Annonce - Épisode 13,368631.0,15168.0,92.0,fr,"A trailer (Bande Annonce) for Episode 13 of a series titled ""Sama WURUS"".","Dramatic, serious, and somewhat enigmatic, with phrases like ""dalam de la surround des arts"" and ""m'a prisonné de votre vie passenger"" suggesting depth or conflict.",unclear,"Poetic, abstract, and fragmented, potentially multi-lingual or containing speech-to-text errors, contributing to a non-linear, evocative style.","Existing viewers of the ""Sama WURUS"" series or individuals interested in dramatic, artistic, or enigmatic serial content.","The creation and promotion of episodic serial content on digital platforms, using a trailer to build anticipation for an upcoming episode.","The creator uses an artistic, enigmatic, and fragmented approach to present the trailer, relying on evocative phrases and mood rather than a direct narrative summary, to build intrigue for the series.","Viewers might share the video due to anticipation for ""Épisode 13"" of the ""Série"", or because they are intrigued by the mysterious and artistic presentation of the trailer, prompting discussion or interpretation.",transcript,
7WtgVtmrQ4w,🔴 LIVE - محاكي المزارع #15 : بنيت فيلا الأحلام فالمزرعة التعيسة 🏡🔥,150475.0,12327.0,537.0,ar,Building a 'dream villa' and managing a farm in a simulation game.,"Energetic, enthusiastic, positive, and aspirational, focusing on progress and overcoming challenges.",unclear,"Informal, conversational, and multilingual, mixing Moroccan Darija, Arabic, French, and English terms with frequent use of slang and direct address.","Gamers, particularly those interested in simulation or building games, and a younger, internet-savvy audience.","Live streaming, 'Let's Play' style gaming content, simulation game genre (specifically farm simulators), and online community building via platforms like Discord.","The creator acts as an enthusiastic gamer and narrator, guiding viewers through their in-game progress, problem-solving, and decision-making on the farm, while actively engaging with the audience.","The content is shareable due to its aspirational narrative of building a 'dream villa' from an 'unhappy farm', the creator's engaging and energetic commentary, direct interaction with the audience to foster community, and relatable gameplay within a popular simulation genre.",transcript,
URopK8BfEb0,Football Stadium TRAILER 🏈 | Next Update! 📣| Avatar World,172040.0,6579.0,691.0,en,"An upcoming update or new feature (a Football Stadium) within a virtual game world called 'Avatar World', showcased as a trailer with gameplay commentary.","Enthusiastic, energetic, and exciting, conveyed through exclamations and urgent calls to action.","None apparent, the tone remains consistently high-energy throughout the short transcript.","Informal, conversational, and commentary-like, using direct address and exclamatory phrases.",Players or potential players of 'Avatar World' and those interested in gaming updates or virtual world content.,"The integration of sports (football) within a virtual world or gaming platform, aligning with trends in virtual experiences, metaverses, or ongoing game development and updates.","The creator is showcasing a 'TRAILER' for a 'Next Update!' to 'Avatar World', likely highlighting new gameplay or features within a 'Football Stadium' environment.",Announcing new content ('Next Update!') for an established platform ('Avatar World') typically generates excitement and encourages sharing among its community and those interested in virtual gaming developments.,transcript,
efVH0tzNr3A,ميسي بليتز انهاء 100 و ارتو 99 .. و امبابي💥🤯 اعظم بكج شوتايم كأس العالم 🔥!,141154.0,17242.0,648.0,ar,"The main topic is opening player packs/cards in a football/soccer video game, specifically focusing on obtaining high-rated World Cup versions of players like Lionel Messi and Kylian Mbappé, followed by analysis of their in-game statistics and potential team placements.","The emotional tone is primarily enthusiastic and excited, marked by high anticipation during pack openings, moments of joy or triumph when desired players are obtained, and occasional frustration or disappointment with unfavorable draws or weak audience engagement. Exclamations and emojis in the title also reinforce this energetic tone.","Yes, there are noticeable tone shifts. The video oscillates between high excitement and anticipation during the pack-opening segments, to moments of direct appeal and slight frustration when discussing audience support ('الدعم دعيف محتاج الليك'), to disappointment with bad draws or in-game performance, and then back to enthusiasm, especially when finally acquiring sought-after players ('أخيراً').","The language register is highly informal and colloquial, characteristic of gaming commentary. It frequently mixes spoken Arabic (likely a dialect, given expressions like 'أوي' and speech-to-text artifacts) with religious phrases ('صلى الله عليه وسلم'), and a significant amount of English gaming terminology (e.g., 'بكج', 'شوتايم', 'بليتز', 'بوكس تو بوكس', 'كريت بليمكر', 'دبل تتش', 'بلانس', 'استمينا'). The presence of speech-to-text errors further contributes to an unstructured feel.","The intended audience is primarily fans of football/soccer video games, particularly those interested in 'pack opening' mechanics, player card collection and upgrades, and detailed analysis of in-game player statistics and team building. They are expected to be familiar with gaming jargon and popular football players, as well as YouTube's creator-viewer engagement model.","The video explicitly taps into the cultural moment of the 'World Cup' (كأس العالم) by focusing on 'World Cup' versions of players. It also capitalizes on the popular gaming trend of 'pack opening' or 'gacha' mechanics prevalent in sports simulation games, where players open virtual packs hoping to acquire rare and high-rated player cards.","The creator's angle is to share an enthusiastic pack-opening experience, striving to acquire the 'greatest' or 'most epic' versions of star players (Messi, Mbappé) from a specific in-game event. They provide detailed commentary on player stats and abilities, evaluate their potential impact on a team, and directly engage with the audience by soliciting likes and subscriptions.","The video is likely shareable due to its exciting and relatable 'pack opening' content, which resonates with players who experience similar highs and lows. The focus on globally popular football stars like Messi and Mbappé, combined with the creator's energetic commentary and detailed player analysis, could spark discussions among fans about player performance, in-game luck, and team strategies.",transcript,
pstBoXkBNA4,Cheb Adjel 2026 & Arbi Recos Exclusive Audio -  سبب وكتب هطالب,96452.0,3417.0,203.0,ar,"An exclusive audio track or song expressing deep love and intense affection, highlighting its essential nature, possibly exploring the 'reason' or 'demands' of such feelings.","Intense, passionate, deeply affectionate, possibly melancholic or longing, with a focus on profound emotional need.","No significant shift; the tone remains consistently intense and emotionally charged throughout the transcript, primarily centered on deep affection and its significance.","Poetic, expressive, and informal, using lyrical repetition and phrases that convey strong emotion, possibly incorporating colloquialisms.","Listeners of emotional, love-themed music, particularly those interested in the artistic output of Cheb Adjel and Arbi Recos, and individuals who appreciate deep, expressive lyrical content.",unclear,"The creators (Cheb Adjel & Arbi Recos) are offering an 'exclusive audio' that presents an intensely personal and dramatic perspective on love, framing it as more vital than medicine, and exploring the 'reasons' or 'demands' associated with such profound feelings through song.","The video's intense emotional themes, particularly the idea of love being 'more than medicine,' are highly relatable and impactful. Its memorable, repeated lyrical phrases and the 'exclusive audio' aspect, possibly from known artists, could drive sharing among those who resonate with expressive love songs or follow the creators.",transcript,
W2psuzyxt6M,BOROM KEUR - Saison 2 - Episode 2 : Bande Annonce,449120.0,21222.0,230.0,fr,Trailer for a dramatic series episode,"Dramatic, tense, and conflicted",None evident,"Informal, dramatic, and colloquial, with mixed languages (French, possibly Darija, and other elements)","Viewers interested in dramatic series, particularly those familiar with 'BOROM KEUR' or French-speaking audiences.",Promotion of an episodic web series or drama series; creation of trailers/bandes annonces for serialized content.,unclear,To generate excitement and anticipation for a new episode or season of an ongoing dramatic series; to share intriguing dramatic content.,transcript,
3rCdkmk1_5w,فتحت بكج نجوم اسبوع كأس العالم🤯اخيرا عودة الافضل في اللعبه🔥|efootbal 2026,148607.0,15622.0,465.0,ar,"The main topic is the opening of a ""World Cup Team of the Week"" pack in the game ""efootball 2026,"" followed by a detailed discussion and analysis of acquired players (notably Messi and Mbappé), their in-game statistics, potential roles in team formations, and commentary on gameplay experiences including wins and losses in various league divisions.","The emotional tone is primarily excited and enthusiastic, especially during the pack opening and when discussing highly-rated players. There are moments of frustration and reflection when discussing match losses and strategic difficulties, but it often reverts to a hopeful and determined outlook, sometimes expressing gratitude or satisfaction.","The tone shifts from an initial burst of excitement and anticipation during the pack opening, through an analytical and strategic discussion of player attributes and team building, to periods of frustration and critical self-reflection during gameplay segments (especially after losses), before returning to a strategic and hopeful outlook for future matches and player utilization.","The language register is informal and conversational, blending colloquial Arabic with specific English gaming terms such as ""pack,"" ""booster,"" ""dribbling,"" ""balance,"" ""kicking power,"" ""division,"" and ""stats."" The use of interjections like ""يا ربي"" (oh my God) and repetitions of ""حمد لله"" (thank God) further contribute to an informal and personal style.","The intended audience is players of ""efootball 2026,"" particularly those interested in pack openings, acquiring and analyzing top-tier players (like World Cup Team of the Week editions), understanding player statistics, optimizing team formations, and following competitive gameplay and strategic discussions within the game.","This video taps into the trend of 'pack opening' videos popular in online gaming, the continuous global cultural relevance of football, especially events like the 'World Cup' (as indicated by 'نجوم اسبوع كأس العالم'), and the ongoing interest in competitive online football games like 'efootball 2026' and their specific in-game events or player releases.","The creator's angle is a personal, engaging, and analytical approach to a specific in-game event. They combine the excitement of a pack opening with detailed player reviews, strategic team-building advice, and live commentary on their gameplay performance, including transparently sharing both successes and frustrations. This creates a relatable narrative for other players navigating similar in-game challenges.","This video is likely shareable due to its relevance to the active 'efootball 2026' community, particularly those interested in the 'World Cup Team of the Week' event. Its detailed analysis of popular players like Messi and Mbappé, combined with the relatable excitement and frustration of pack openings and competitive gameplay, makes it a valuable resource for strategy, entertainment, and discussion among fellow players.",transcript,
5YvzStBaays,The Amazing Digital Circus Finale | Official Trailer | Netflix,1218316.0,60079.0,4258.0,en,"A trailer for the finale of 'The Amazing Digital Circus', highlighting a dramatic and uncertain situation among characters.","Anxious, uncertain, dramatic, regretful, and concerned.","No clear shift; the tone consistently conveys anxiety, uncertainty, and regret, deepening as the dialogue progresses.","Conversational, informal.","Fans of 'The Amazing Digital Circus', viewers interested in animated or digital content, and those who enjoy dramatic narratives or trailers for upcoming shows/films on Netflix.","The prevalence of streaming services like Netflix for original content, the trend of animated digital series, and episodic storytelling culminating in a 'finale'.",To build suspense and generate anticipation for the dramatic conclusion of 'The Amazing Digital Circus' by highlighting character distress and an uncertain future.,"Fans would share to announce the finale of a beloved series; the dramatic dialogue and suspense could encourage discussions, theories, or expressions of anticipation among viewers.",transcript,
BMjf_M3vs9c,AGOGO,8597.0,1020.0,43.0,ar,"A lament or complaint expressing a sense of powerlessness and personal struggle, with strong references to Marrakech and feeling unheard.","Distress, frustration, lament, and a sense of powerlessness or struggle.","No significant shift; the tone remains consistently intense and lamenting throughout, possibly building in urgency.","Informal and conversational, indicating colloquial Moroccan Arabic.","Individuals familiar with Moroccan culture and dialect, who connect with raw emotional expression or local artistic content, possibly music listeners.","Could be part of a trend of authentic, raw emotional expression in local contexts, potentially within local music genres (e.g., rap, spoken word) or personal storytelling, especially given the specific mention of Marrakech.","The creator's angle is one of direct, emotional expression of personal struggle and frustration, possibly through a musical or spoken word style, incorporating local identity.","Its raw emotional intensity, potential relatability of feelings of struggle, local cultural references (Marrakech), and rhythmic, memorable phrasing could make it shareable.",transcript,
6EmBG6Z7OfU,من أقوى منتخب عربي في كأس العالم؟ 👀,65642.0,4822.0,93.0,ar,"Football match commentary and simulation, specifically debating and demonstrating the performance of Arab national teams (Morocco vs. Egypt) in the context of the World Cup.","Energetic, passionate, and highly reactive, with oscillations between excitement, enthusiasm (e.g., 'حلو حلو'), and frustration or disappointment during gameplay (e.g., 'مع الأسف', 'اتفك').","The tone shifts from an initial, somewhat declarative setup of the 'strongest Arab team' debate to a highly dynamic, emotional, and exclamatory commentary during the simulated match, filled with real-time reactions to gameplay, player actions, and perceived referee decisions, before likely transitioning to a more structured closing.","Highly informal and conversational, characterized by colloquial Arabic, direct address ('يا دراري', 'يا رحيمي'), numerous interjections, exclamations, and spontaneous reactions typical of live commentary or a gaming stream.","Primarily football fans, particularly those interested in Arab national teams (especially Morocco and Egypt), and likely a younger demographic who enjoy gaming content, real-time commentary, and passionate discussions about sports.","The content leverages the global cultural moment of the World Cup and the regional trend of discussing and debating the performance and strength of Arab national football teams, fostering national pride and rivalry. Football simulation games are also a popular gaming trend.","The creator acts as an enthusiastic commentator and gamer, simulating a football match (Morocco vs. Egypt), offering real-time analysis of player choices and tactics, expressing strong emotional reactions to the game's unfolding events, and actively engaging with the core question of the 'strongest Arab team.'","Viewers might share this content due to the engaging, high-energy commentary, the relatable emotional reactions to football, the popular and often contentious debate about the 'strongest Arab team,' and the specific focus on national teams (Morocco vs. Egypt) which can spark discussion and rivalry among fans.",transcript,
8mqYknYEp3M,Djelykaba Bintou - Coup de coeur (Clip Officiel),269812.0,25164.0,3894.0,fr,"A love song expressing deep affection, adoration, and joy for a beloved person.",Passionately adoring and joyful.,No significant tone shift; the emotional tone remains consistently affectionate and joyful throughout.,"Informal and conversational, using colloquialisms and direct address like 'bébé'.","Individuals who enjoy romantic music, particularly those who appreciate heartfelt and direct expressions of love in a popular music format.","The production and release of an 'Official Clip' (music video) is a common trend in popular music culture, featuring the perennial theme of romantic love.",The creator's approach is to deliver a heartfelt and professionally produced musical declaration of love and adoration.,"Viewers might share this content to express their own feelings of love or affection, to dedicate the song to a loved one, or because the emotional message and theme of 'crush' ('coup de coeur') resonate deeply with them.",transcript,
